order_item_id,order_id,product_id,quantity,price
1,1,709,3,19.51
2,1,471,5,67.42
3,1,1358,3,25.83
4,1,1474,3,343.9
5,1,326,1,285.01
6,1,1297,4,107.46
7,1,1404,2,250.58
8,1,1498,5,220.95
9,1,1019,4,338.37
10,1,1434,3,233.69
11,2,1181,5,186.63
12,2,764,3,492.02
13,3,1559,4,282.84
14,3,1006,5,34.75
15,3,1022,1,260.49
16,3,1049,1,177.87
17,3,765,2,296.24
18,3,744,4,251.37
19,3,36,5,61.56
20,4,1677,3,324.76
21,4,5,4,148.32
22,4,1255,1,247.89
23,4,673,4,239.46
24,4,712,4,210.43
25,5,1695,5,174.61
26,5,1546,4,395.29
27,6,649,5,392.12
28,6,868,3,395.21
29,6,1063,2,15.92
30,6,1029,4,171.08
31,6,1535,1,105.99
32,6,318,1,303.55
33,6,913,1,6.98
34,6,414,3,349.34
35,6,137,1,287.56
36,6,1345,5,302.97
37,7,264,4,397.37
38,7,1355,5,150.09
39,7,857,4,335.03
40,7,414,4,349.34
41,7,1687,1,113.51
42,7,701,4,65.76
43,8,592,1,335.63
44,8,1269,4,115.81
45,8,174,4,436.13
46,8,83,2,15.74
47,8,27,3,223.64
48,8,855,2,113.75
49,8,892,4,268.71
50,9,666,1,354.05
51,9,1741,1,261.9
52,9,1073,1,391.19
53,9,85,1,127.4
54,9,1135,5,446.74
55,9,137,3,287.56
56,9,1228,3,164.1
57,10,467,2,124.59
58,10,117,5,39.95
59,10,82,4,443.22
60,10,603,1,6.59
61,10,932,2,54.97
62,10,698,5,377.37
63,11,1460,1,387.29
64,11,328,3,20.03
65,11,1403,5,416.81
66,11,279,1,364.51
67,11,852,1,432.57
68,12,57,4,457.65
69,12,1347,4,254.76
70,12,1607,5,141.13
71,12,849,5,202.95
72,12,707,2,428.63
73,12,236,5,94.09
74,12,1256,1,31.1
75,12,1024,1,30.34
76,13,394,5,447.62
77,14,1443,5,46.45
78,14,1713,5,478.12
79,14,586,2,309.68
80,15,1426,2,211.07
81,15,648,4,146.22
82,15,518,5,236.98
83,15,1678,3,458.6
84,15,1658,1,477.54
85,15,780,3,159.9
86,15,1391,5,105.72
87,16,411,5,281.22
88,16,843,4,187.05
89,16,534,1,5.05
90,16,1640,2,72.14
91,17,222,4,382.98
92,17,239,4,312.83
93,17,951,3,345.14
94,17,1345,4,302.97
95,18,397,1,218.94
96,18,965,5,146.1
97,18,434,2,118.64
98,18,1197,1,75.38
99,18,234,3,296.47
100,19,744,1,279.3
101,19,579,3,393.62
102,19,1538,3,339.61
103,19,207,2,62.28
104,20,1009,4,330.49
105,20,554,2,169.14
106,20,1371,2,35.42
107,20,358,2,43.44
108,20,811,3,150.9
109,20,82,4,443.22
110,21,1240,4,97.08
111,21,648,2,146.22
112,21,775,3,36.71
113,21,33,3,264.92
114,22,585,1,114.94
115,22,936,3,401.01
116,22,55,4,257.94
117,22,807,3,401.0
118,22,124,2,465.59
119,23,859,1,368.06
120,23,341,3,442.0
121,23,205,4,310.79
122,23,181,4,277.78
123,23,1682,2,307.63
124,23,1545,3,341.43
125,23,77,1,116.15
126,23,377,5,413.69
127,23,78,4,217.57
128,24,1376,4,314.69
129,24,431,5,175.88
130,24,1608,4,86.95
131,24,742,1,298.71
