order_item_id,order_id,product_id,quantity,price
53,16,22,2,80.91
54,16,32,3,213.86
55,16,21,1,300.44
56,16,28,3,92.93
57,17,21,2,300.44
58,18,40,2,485.01
59,19,38,2,114.19
60,19,23,3,160.85
61,19,37,3,402.78
62,19,30,1,119.03
63,20,22,3,80.91
64,20,34,1,459.67
65,21,38,1,114.19
66,21,30,1,119.03
67,22,40,1,485.01
68,22,30,1,119.03
69,23,38,3,114.19
70,23,38,2,114.19
71,23,31,3,84.54
72,23,29,1,288.95
73,24,21,2,300.44
74,25,23,1,160.85
75,25,29,3,288.95
76,25,26,2,452.81
77,26,32,3,213.86
78,26,29,2,288.95
79,26,26,2,452.81
80,27,29,2,288.95
81,28,27,1,145.75
82,28,35,1,427.71
83,29,38,2,114.19
84,29,23,3,160.85
85,29,31,1,84.54
86,30,35,3,427.71
87,30,35,1,427.71
88,30,27,2,145.75
89,30,33,2,15.42
