cart_id,customer_id,created_date
1,27,2023-12-14 00:00:00
2,208,2023-03-16 00:00:00
3,303,2023-06-24 00:00:00
4,598,2023-07-11 00:00:00
5,304,2023-08-20 00:00:00
6,534,2023-05-21 00:00:00
7,601,2023-09-21 00:00:00
8,165,2023-01-27 00:00:00
9,111,2023-04-03 00:00:00
10,584,2023-01-06 00:00:00
11,428,2023-08-02 00:00:00
12,74,2023-01-13 00:00:00
13,516,2023-08-12 00:00:00
14,117,2023-03-28 00:00:00
15,115,2023-05-27 00:00:00
16,593,2023-09-17 00:00:00
17,449,2023-12-15 00:00:00
18,155,2023-11-01 00:00:00
19,547,2023-09-22 00:00:00
20,106,2023-09-21 00:00:00
21,31,2023-11-30 00:00:00
22,290,2023-03-07 00:00:00
23,227,2023-03-09 00:00:00
24,523,2023-09-15 00:00:00
25,462,2023-07-13 00:00:00
26,251,2023-11-14 00:00:00
27,141,2023-05-04 00:00:00
28,292,2023-10-06 00:00:00
29,157,2023-03-22 00:00:00
30,183,2023-05-26 00:00:00
31,236,2023-10-09 00:00:00
32,144,2023-06-20 00:00:00
33,117,2023-05-04 00:00:00
34,249,2023-10-21 00:00:00
35,4,2023-05-01 00:00:00
36,241,2023-06-07 00:00:00
37,543,2023-12-30 00:00:00
38,460,2023-09-05 00:00:00
39,399,2023-04-22 00:00:00
40,472,2023-08-17 00:00:00
41,455,2023-12-05 00:00:00
42,547,2023-02-12 00:00:00
43,550,2023-06-26 00:00:00
44,89,2023-12-21 00:00:00
45,300,2023-01-05 00:00:00
46,200,2023-11-21 00:00:00
47,239,2023-11-08 00:00:00
48,585,2023-05-11 00:00:00
49,562,2023-04-08 00:00:00
50,100,2023-09-15 00:00:00
51,278,2023-06-17 00:00:00
52,326,2023-02-12 00:00:00
53,203,2023-08-07 00:00:00
54,83,2023-02-04 00:00:00
55,82,2023-05-12 00:00:00
56,442,2023-11-13 00:00:00
57,68,2023-04-15 00:00:00
58,66,2023-06-23 00:00:00
59,443,2023-06-26 00:00:00
60,260,2023-02-18 00:00:00
61,393,2023-06-11 00:00:00
62,324,2023-06-04 00:00:00
63,464,2023-01-05 00:00:00
64,625,2023-09-27 00:00:00
65,174,2023-11-02 00:00:00
66,36,2023-06-28 00:00:00
67,252,2023-01-21 00:00:00
68,435,2023-05-19 00:00:00
69,172,2023-07-02 00:00:00
70,195,2023-08-10 00:00:00
71,192,2023-01-17 00:00:00
72,96,2023-04-13 00:00:00
73,300,2023-02-01 00:00:00
74,151,2023-05-27 00:00:00
75,88,2023-03-20 00:00:00
76,126,2023-09-15 00:00:00
77,43,2023-10-07 00:00:00
78,72,2023-01-01 00:00:00
79,623,2023-01-17 00:00:00
80,471,2023-12-11 00:00:00
81,71,2023-07-08 00:00:00
82,2,2023-08-22 00:00:00
83,606,2023-11-16 00:00:00
84,190,2023-04-16 00:00:00
85,282,2023-01-16 00:00:00
86,381,2023-06-20 00:00:00
87,508,2023-08-06 00:00:00
88,212,2023-07-11 00:00:00
89,392,2023-06-28 00:00:00
90,116,2023-03-21 00:00:00
91,268,2023-03-18 00:00:00
92,110,2023-05-26 00:00:00
93,93,2023-07-13 00:00:00
94,144,2023-12-10 00:00:00
95,626,2023-07-12 00:00:00
96,104,2023-09-09 00:00:00
97,159,2023-02-25 00:00:00
98,394,2023-08-03 00:00:00
99,194,2023-10-15 00:00:00
100,308,2023-01-31 00:00:00
101,239,2023-05-03 00:00:00
102,574,2023-04-07 00:00:00
103,493,2023-11-15 00:00:00
104,149,2023-12-04 00:00:00
105,112,2023-08-17 00:00:00
106,182,2023-01-31 00:00:00
107,20,2023-11-21 00:00:00
108,142,2023-01-28 00:00:00
109,79,2023-01-25 00:00:00
110,79,2023-07-05 00:00:00
111,341,2023-11-12 00:00:00
112,578,2023-07-21 00:00:00
113,187,2023-04-27 00:00:00
114,546,2023-04-14 00:00:00
115,335,2023-02-15 00:00:00
116,588,2023-07-22 00:00:00
117,543,2023-06-27 00:00:00
118,93,2023-10-24 00:00:00
119,177,2023-07-31 00:00:00
120,572,2023-03-23 00:00:00
121,82,2023-08-17 00:00:00
122,316,2023-10-20 00:00:00
123,589,2023-05-01 00:00:00
124,284,2023-08-13 00:00:00
125,601,2023-11-01 00:00:00
126,34,2023-09-24 00:00:00
127,177,2023-10-02 00:00:00
128,66,2023-03-16 00:00:00
129,477,2023-11-01 00:00:00
130,159,2023-02-07 00:00:00
131,246,2023-05-24 00:00:00
132,622,2023-09-14 00:00:00
133,546,2023-04-28 00:00:00
134,546,2023-02-09 00:00:00
135,102,2023-11-12 00:00:00
