review_id,customer_id,product_id,rating,comment,review_date
1,146,1024,3,"Good product overall, but has some minor issues.",2023-02-10
2,402,210,5,Absolutely love it! Exceeded my expectations.,2023-07-08
3,20,709,4,Absolutely love it! Exceeded my expectations.,2023-03-09
4,232,216,4,Perfect in every way. Worth every penny!,2023-07-25
5,126,432,4,Perfect in every way. Worth every penny!,2023-11-16
6,513,2,3,"Good product overall, but has some minor issues.",2023-09-10
7,335,251,3,"Works as expected, nothing special though.",2023-10-06
8,345,237,2,Poor quality and doesn't work as described.,2023-02-25
9,244,488,2,Poor quality and doesn't work as described.,2023-12-13
10,10,505,5,Perfect in every way. Worth every penny!,2023-08-19
11,208,149,3,"Good product overall, but has some minor issues.",2023-11-04
12,348,249,3,"Good product overall, but has some minor issues.",2023-01-26
13,371,594,2,Poor quality and doesn't work as described.,2023-03-24
14,450,482,4,Highly recommend! Excellent quality.,2023-05-06
15,471,1092,2,Very disappointed with this purchase.,2023-11-28
16,422,832,3,"Works as expected, nothing special though.",2023-06-09
17,473,731,2,Very disappointed with this purchase.,2023-06-12
18,85,608,3,"Works as expected, nothing special though.",2023-05-13
19,487,905,3,"Good product overall, but has some minor issues.",2023-05-11
20,236,516,1,Poor quality and doesn't work as described.,2023-10-14
21,537,872,4,Perfect in every way. Worth every penny!,2023-03-05
22,455,277,3,"Good product overall, but has some minor issues.",2023-07-31
23,437,1076,3,"Good product overall, but has some minor issues.",2023-06-11
24,170,770,2,Poor quality and doesn't work as described.,2023-01-08
25,12,221,3,"Good product overall, but has some minor issues.",2023-05-13
26,302,149,3,"Good product overall, but has some minor issues.",2023-11-07
27,274,843,5,Absolutely love it! Exceeded my expectations.,2023-01-07
28,216,922,3,"Works as expected, nothing special though.",2023-01-10
29,305,545,5,Perfect in every way. Worth every penny!,2023-04-28
30,484,361,5,Absolutely love it! Exceeded my expectations.,2023-01-11
31,36,56,3,"Good product overall, but has some minor issues.",2023-12-06
32,231,380,4,Highly recommend! Excellent quality.,2023-05-21
33,215,186,3,"Works as expected, nothing special though.",2023-04-18
34,363,272,5,Highly recommend! Excellent quality.,2023-11-13
35,243,952,5,Highly recommend! Excellent quality.,2023-01-14
36,453,589,3,"Good product overall, but has some minor issues.",2023-03-17
37,225,242,5,Highly recommend! Excellent quality.,2023-10-15
38,548,664,3,"Works as expected, nothing special though.",2023-01-28
39,94,281,4,Perfect in every way. Worth every penny!,2023-07-24
40,149,886,2,Poor quality and doesn't work as described.,2023-02-12
41,389,400,4,Highly recommend! Excellent quality.,2023-09-02
42,29,151,4,Absolutely love it! Exceeded my expectations.,2023-10-07
43,93,773,4,Perfect in every way. Worth every penny!,2023-12-20
44,108,657,3,"Good product overall, but has some minor issues.",2023-04-23
45,241,769,4,Absolutely love it! Exceeded my expectations.,2023-12-23
46,520,333,2,Very disappointed with this purchase.,2023-09-19
47,462,510,3,"Good product overall, but has some minor issues.",2023-10-20
48,344,703,5,Perfect in every way. Worth every penny!,2023-07-26
49,284,557,5,Perfect in every way. Worth every penny!,2023-06-17
50,351,772,5,Absolutely love it! Exceeded my expectations.,2023-06-10
51,348,503,5,Highly recommend! Excellent quality.,2023-06-06
52,473,939,4,Perfect in every way. Worth every penny!,2023-08-02
53,519,547,5,Highly recommend! Excellent quality.,2023-07-21
54,62,99,4,Perfect in every way. Worth every penny!,2023-11-01
55,488,570,4,Highly recommend! Excellent quality.,2023-04-23
56,199,121,4,Highly recommend! Excellent quality.,2023-02-15
57,362,314,3,"Good product overall, but has some minor issues.",2023-07-02
58,448,417,1,Very disappointed with this purchase.,2023-06-16
59,17,225,2,Poor quality and doesn't work as described.,2023-02-05
60,44,515,3,"Good product overall, but has some minor issues.",2023-01-16
61,541,869,4,Highly recommend! Excellent quality.,2023-11-30
62,348,862,2,Poor quality and doesn't work as described.,2023-06-10
63,11,712,2,Poor quality and doesn't work as described.,2023-02-27
64,364,100,3,"Works as expected, nothing special though.",2023-10-15
65,408,360,3,"Works as expected, nothing special though.",2023-04-05
66,234,325,5,Absolutely love it! Exceeded my expectations.,2023-09-28
67,46,1050,5,Highly recommend! Excellent quality.,2023-03-25
68,180,161,5,Highly recommend! Excellent quality.,2023-03-28
69,94,1007,5,Absolutely love it! Exceeded my expectations.,2023-05-13
70,106,256,4,Perfect in every way. Worth every penny!,2023-05-22
71,243,268,4,Highly recommend! Excellent quality.,2023-02-02
72,479,170,2,Very disappointed with this purchase.,2023-01-06
73,269,1012,5,Perfect in every way. Worth every penny!,2023-02-25
74,469,581,3,"Good product overall, but has some minor issues.",2023-09-19
75,168,28,5,Absolutely love it! Exceeded my expectations.,2023-06-09
76,145,103,3,"Good product overall, but has some minor issues.",2023-07-14
77,502,548,5,Highly recommend! Excellent quality.,2023-08-15
78,517,521,3,"Good product overall, but has some minor issues.",2023-05-02
79,495,668,3,"Works as expected, nothing special though.",2023-02-05
80,323,536,5,Absolutely love it! Exceeded my expectations.,2023-12-09
81,232,928,3,"Good product overall, but has some minor issues.",2023-04-13
82,28,215,4,Perfect in every way. Worth every penny!,2023-01-13
83,451,334,2,Poor quality and doesn't work as described.,2023-08-25
84,542,697,3,"Works as expected, nothing special though.",2023-11-08
85,180,358,4,Absolutely love it! Exceeded my expectations.,2023-08-11
86,250,797,4,Absolutely love it! Exceeded my expectations.,2023-06-11
87,142,176,5,Perfect in every way. Worth every penny!,2023-04-02
