review_id,customer_id,product_id,rating,comment,review_date
21,11,23,3,Various peace player ten might avoid.,2025-05-18T14:42:45.261822
22,13,27,4,On stuff however cost responsibility thought.,2025-05-18T14:42:45.261859
23,13,35,3,Every should perhaps act TV.,2025-05-18T14:42:45.261882
24,20,38,5,Together strategy performance instead from long mean.,2025-05-18T14:42:45.261903
25,12,29,3,Something long challenge must wall prove such.,2025-05-18T14:42:45.261923
26,18,21,3,Speech white example standard than matter successful whatever.,2025-05-18T14:42:45.261944
27,18,39,4,You suddenly me song.,2025-05-18T14:42:45.261963
28,18,21,2,Feeling us either note firm.,2025-05-18T14:42:45.261982
29,13,27,5,Will employee amount use as.,2025-05-18T14:42:45.262002
30,11,40,3,Age unit surface ready light question.,2025-05-18T14:42:45.262021
31,14,25,5,View hope appear leader very already six.,2025-05-18T14:42:45.262040
32,18,26,3,Out book son.,2025-05-18T14:42:45.262058
33,17,24,5,Chance there human good simply we floor position.,2025-05-18T14:42:45.262076
34,16,30,2,Produce wrong explain certainly ready.,2025-05-18T14:42:45.262095
35,17,32,4,Up short be you mention.,2025-05-18T14:42:45.262112
36,20,26,5,Hundred professional put almost require name investment quite.,2025-05-18T14:42:45.262131
37,13,36,1,Various want board speak staff marriage.,2025-05-18T14:42:45.262150
38,18,35,4,Send record vote prepare should stop turn.,2025-05-18T14:42:45.262168
39,15,25,1,And major place step voice today side scene.,2025-05-18T14:42:45.262186
40,20,21,5,Difficult while begin may.,2025-05-18T14:42:45.262205
