order_item_id,order_id,product_id,quantity,price
35,16,5,1,95.87
36,16,1,2,616.73
37,16,6,2,441.31
38,16,8,1,836.01
39,17,6,2,441.31
40,18,2,1,99.41
41,18,9,1,324.84
42,19,9,2,324.84
43,19,1,2,616.73
44,19,8,2,836.01
45,19,5,1,95.87
46,20,2,3,99.41
47,21,6,2,441.31
48,21,10,3,840.7
49,21,4,3,62.77
50,22,5,1,95.87
51,23,7,1,966.14
52,24,6,2,441.31
53,25,6,1,441.31
54,25,5,2,95.87
55,25,3,2,617.64
56,25,6,2,441.31
57,26,9,2,324.84
58,26,7,2,966.14
59,26,8,2,836.01
60,27,6,1,441.31
61,28,1,2,616.73
62,29,3,1,617.64
63,30,4,1,62.77
64,30,8,2,836.01
