order_item_id,order_id,product_id,quantity,price
65,31,12,1,781.98
66,31,10,2,840.7
67,31,12,3,781.98
68,32,8,3,836.01
69,32,14,2,251.39
70,32,6,1,441.31
71,33,9,1,324.84
72,33,7,1,966.14
73,33,9,1,324.84
74,34,1,1,616.73
75,34,12,2,781.98
76,34,6,1,441.31
77,35,12,3,781.98
78,35,13,3,15.37
79,36,2,1,99.41
80,36,7,1,966.14
81,37,11,1,559.55
82,37,3,3,617.64
83,37,6,3,441.31
84,38,15,1,882.18
85,39,8,2,836.01
86,39,10,3,840.7
87,39,13,2,15.37
88,40,6,1,441.31
89,40,14,2,251.39
90,40,11,1,559.55
91,40,7,2,966.14
92,41,4,1,62.77
93,41,2,2,99.41
94,41,4,3,62.77
95,41,15,3,882.18
96,42,13,2,15.37
97,42,3,1,617.64
98,43,12,2,781.98
99,43,3,1,617.64
100,43,3,1,617.64
101,44,2,3,99.41
102,44,4,3,62.77
103,44,1,2,616.73
104,44,13,3,15.37
105,45,6,1,441.31
