review_id,customer_id,product_id,rating,comment,review_date
21,5,10,4,Enter build person.,2025-06-04T15:05:18.213798
22,7,2,1,Make avoid before city voice.,2025-06-04T15:05:18.213834
23,15,14,5,Century read well recently course company.,2025-06-04T15:05:18.213859
24,10,7,1,Name plan task respond.,2025-06-04T15:05:18.213880
25,14,7,2,Represent a you song send.,2025-06-04T15:05:18.213900
26,9,2,1,Field free center your it executive.,2025-06-04T15:05:18.213921
27,10,3,3,Evening raise trouble gun top forget option how.,2025-06-04T15:05:18.213941
28,9,7,3,Explain seem sport table.,2025-06-04T15:05:18.213961
29,10,5,2,Let cell rise free unit community.,2025-06-04T15:05:18.213980
30,9,3,3,Figure oil sense staff account method forget.,2025-06-04T15:05:18.213999
