review_id,customer_id,product_id,rating,comment,review_date
1,2,4,5,Fly cold toward detail skin much audience cup.,2025-06-01T09:06:58.759015
2,3,5,2,Instead he either support every.,2025-06-01T09:06:58.759050
3,2,5,1,Rate few throughout hot let happy should operation.,2025-06-01T09:06:58.759074
4,5,1,5,Special stop week.,2025-06-01T09:06:58.759095
5,4,5,4,None collection fact apply project number president.,2025-06-01T09:06:58.759115
6,5,1,3,Item might democratic life participant.,2025-06-01T09:06:58.759135
7,4,2,1,Responsibility success story probably country while.,2025-06-01T09:06:58.759154
8,5,2,3,Opportunity happen explain crime skill ago.,2025-06-01T09:06:58.759173
9,3,1,2,Recent strategy clear hundred table million.,2025-06-01T09:06:58.759192
10,2,4,2,Production later spend book perform management.,2025-06-01T09:06:58.759212
