review_id,customer_id,product_id,rating,comment,review_date
11,4,9,4,Break body past others heavy ago perform.,2025-05-24T18:19:10.826154
12,6,3,4,Part avoid have table something owner.,2025-05-24T18:19:10.826194
13,7,4,5,Hit yourself represent behind type.,2025-05-24T18:19:10.826217
14,7,10,1,Method hand north music.,2025-05-24T18:19:10.826238
15,10,3,5,Stock although science develop strong.,2025-05-24T18:19:10.826258
16,6,6,2,Material brother above necessary we present sea.,2025-05-24T18:19:10.826279
17,4,7,2,Travel they writer likely.,2025-05-24T18:19:10.826298
18,6,2,1,Government off blood Mrs.,2025-05-24T18:19:10.826317
19,10,8,2,Move federal major say blood.,2025-05-24T18:19:10.826337
20,7,4,4,Appear pass pass along kind.,2025-05-24T18:19:10.826356
