review_id,customer_id,product_id,rating,comment,review_date
1,2,1,2,Know into scene enter.,2025-05-20T17:42:37.710115
2,1,2,3,Worker both five own.,2025-05-20T17:42:37.710147
3,5,2,2,Decade drug lay hit understand kitchen pick.,2025-05-20T17:42:37.710170
4,3,4,1,Get player seven wrong pay anything.,2025-05-20T17:42:37.710190
5,2,3,2,Energy government international.,2025-05-20T17:42:37.710209
6,5,3,1,Ago party bar head.,2025-05-20T17:42:37.710228
7,2,2,5,Cell building treatment.,2025-05-20T17:42:37.710246
8,5,5,3,Require dog dinner study war.,2025-05-20T17:42:37.710264
9,5,2,3,Blue large others success relationship edge sea.,2025-05-20T17:42:37.710283
10,2,1,1,Sea agreement say if ready.,2025-05-20T17:42:37.710301
